0,0,0,0,0,0,0,0,0,0,602446157
1,1,1,1,0,0,1,0,1,1,602827707
2,2,0,2,0,0,2,0,2,2,602597563
2,2,0,2,0,0,3,0,2,2,602684797
2,2,0,2,0,0,4,0,3,2,603094822
2,2,0,2,0,0,0,0,3,2,602707926
1,1,2,1,0,0,5,0,4,1,603193284
1,1,3,3,0,0,6,0,4,1,603150544
2,2,0,4,0,0,0,0,5,1,602501736
2,2,0,2,0,0,2,0,2,2,602581385
1,1,4,2,0,0,7,0,6,3,602782108
1,1,2,1,0,0,5,0,7,1,602437204
1,1,5,5,0,0,5,0,7,1,602437204
1,1,6,3,0,0,8,0,8,1,603008028
1,1,7,2,0,0,6,0,8,1,602499576
1,1,8,3,0,0,0,0,9,1,602418973
1,1,9,1,0,0,9,0,10,1,602912589
2,2,0,2,0,0,10,0,2,2,603131830
1,1,10,1,0,0,2,0,11,1,602636177
2,2,0,2,0,0,0,0,2,2,603089650
1,1,8,1,0,0,0,0,12,1,602447178
1,1,8,5,0,0,0,0,12,1,602447178
0,0,0,0,0,0,10,0,0,0,603120597
2,2,0,2,0,0,1,0,0,0,602491696
2,2,0,2,0,0,6,0,2,2,602503734
2,2,0,2,0,0,4,0,2,2,602608110
1,1,10,1,0,0,2,0,9,1,602453345
2,2,0,2,0,0,3,0,2,2,602484854
2,2,0,2,0,0,0,0,13,2,603052473
2,2,0,2,0,0,11,0,2,2,602564374
1,1,7,1,0,0,12,0,4,1,603038583
1,1,2,1,0,0,5,0,9,1,603178990
2,2,0,2,0,0,4,0,2,2,603144848
2,2,0,2,0,0,0,0,2,2,602980201
2,2,0,2,0,0,3,0,14,4,602990294
1,1,7,3,0,0,6,0,9,1,602814769
1,1,5,5,0,0,5,0,9,1,602591241
2,2,0,2,0,0,4,0,2,2,602899538
1,1,10,1,0,0,2,0,11,1,602867905
1,1,10,1,0,0,2,0,11,1,602867905
1,1,10,3,0,0,2,0,15,5,602532611
0,0,0,0,0,0,7,0,2,2,602879057
2,2,0,2,0,0,1,0,2,2,602721548
1,1,11,1,0,0,10,0,16,1,602656484
2,2,0,2,0,0,2,0,2,2,602470418
1,1,12,2,0,0,6,0,17,1,602492578
2,2,0,2,0,0,7,0,2,2,602593761
0,0,0,0,0,0,6,0,0,0,603140159
2,2,0,2,0,0,11,0,2,2,602683747
0,0,0,0,0,0,12,0,18,2,602743057
2,2,0,2,0,0,7,0,19,3,603030341
2,2,0,2,0,0,6,0,2,2,602986002
1,1,3,5,0,0,6,0,9,1,602956137
2,2,0,6,0,0,9,0,20,3,602849743
1,1,12,5,0,0,6,0,17,1,602464741
0,0,0,0,0,0,9,0,2,2,602604912
1,1,9,1,0,0,9,0,21,1,602801964
1,1,9,5,0,0,9,0,21,1,602801964
2,2,0,2,0,0,7,0,2,2,602809319
0,0,0,0,0,0,1,0,2,2,602478449
2,2,0,2,0,0,1,0,2,2,602478449
2,2,0,2,0,0,2,0,2,2,602496800
2,2,0,2,0,0,2,0,2,2,602464262
2,2,0,4,0,0,0,0,2,2,602690224
1,1,13,1,0,0,4,0,4,1,602778601
2,2,0,2,0,0,0,0,22,6,602853629
1,1,8,1,0,0,0,0,23,1,602689408
1,1,14,5,0,0,4,0,24,1,602541476
1,1,3,5,0,0,6,1,6,3,602509375
1,1,14,3,0,0,4,0,9,1,602894411
1,1,7,1,0,0,6,0,6,3,602516204
1,1,8,1,0,0,0,0,4,1,602795776
2,2,0,2,0,0,2,0,2,2,602598951
0,0,0,0,0,0,2,0,0,0,602735883
2,2,0,2,0,0,6,0,25,2,602480657
2,2,0,2,0,0,9,0,26,7,603169737
2,2,0,2,0,0,9,0,3,2,602899669
2,2,0,2,0,0,2,0,0,0,602506918
2,2,0,2,0,0,2,0,2,2,603161247
2,2,0,4,0,0,0,0,14,4,602800246
1,1,14,5,0,0,4,0,4,1,602492734
1,1,14,1,0,0,4,0,4,1,602492734
1,1,10,5,0,0,2,0,27,1,602447998
1,1,10,3,0,0,2,0,27,1,602447998
1,1,10,1,0,0,2,0,27,1,602447998
1,1,1,2,0,0,1,0,28,1,602730856
1,1,2,1,0,0,5,0,8,1,602641888
1,1,6,1,0,0,8,0,17,1,602713118
1,1,2,2,0,0,5,0,9,1,602746153
1,1,8,1,0,0,0,0,4,1,602927811
