col_1:I,col_2:I,col_3:I,col_4:C,col_5:C,clo_6:T
15,18,10,RED,v,1
15,982,10,GREEN,v,1
15,18,990,BLUE,v,1
985,18,10,YELLOW,v,1
15,13,-3,BLUE,v,0
15,987,-3,GREEN,v,0
15,13,1003,GREEN,v,0
985,13,-3,YELLOW,v,0
12,-5,-3,RED,v,1
12,1005,-3,GREEN,v,1
12,-5,1003,BLUE,v,1
988,-5,-3,YELLOW,v,1
3,14,-16,RED,v,1
3,986,-16,GREEN,v,1
3,14,1016,BLUE,v,1
997,14,-16,YELLOW,v,1
9,24,-16,RED,v,1
9,976,-16,GREEN,v,1
9,24,1016,BLUE,v,1
991,24,-16,YELLOW,v,1
3,20,14,RED,v,1
3,980,14,GREEN,v,1
3,20,986,BLUE,v,1
997,20,14,YELLOW,v,1
21,5,-6,RED,v,0
21,995,-6,GREEN,v,0
21,5,1006,BLUE,v,0
979,5,-6,YELLOW,v,0
18,17,4,RED,v,1
18,983,4,GREEN,v,1
18,17,996,BLUE,v,1
982,17,4,YELLOW,v,1
21,20,19,RED,v,1
21,980,19,GREEN,v,1
21,20,981,BLUE,v,1
979,20,19,YELLOW,v,1
-10,9,-10,RED,v,1
-10,991,-10,GREEN,v,1
-10,9,1010,BLUE,v,1
1010,9,-10,YELLOW,v,1
11,3,18,RED,v,1
11,997,18,GREEN,v,1
11,3,982,BLUE,v,1
989,3,18,YELLOW,v,1
25,-3,-6,RED,v,1
25,1003,-6,GREEN,v,1
25,-3,1006,BLUE,v,1
975,-3,-6,YELLOW,v,1
-3,12,7,RED,v,1
-3,988,7,GREEN,v,1
-3,12,993,BLUE,v,1
1003,12,7,YELLOW,v,1
-1,10,-3,RED,v,1
-1,990,-3,GREEN,v,1
-1,10,1003,BLUE,v,1
1001,10,-3,YELLOW,v,1
28,12,-6,RED,v,1
28,988,-6,GREEN,v,1
28,12,1006,BLUE,v,1
972,12,-6,YELLOW,v,1
10,29,18,RED,v,0
10,971,18,GREEN,v,0
10,29,982,BLUE,v,0
990,29,18,YELLOW,v,0
-4,36,10,RED,v,1
-4,964,10,GREEN,v,1
-4,36,990,BLUE,v,1
1004,36,10,YELLOW,v,1
17,3,5,RED,v,1
17,997,5,GREEN,v,1
17,3,995,BLUE,v,1
983,3,5,YELLOW,v,1
6,28,34,RED,v,0
6,972,34,GREEN,v,0
6,28,966,BLUE,v,0
994,28,34,YELLOW,v,0
-1,20,36,RED,v,1
-1,980,36,GREEN,v,1
-1,20,964,BLUE,v,1
1001,20,36,YELLOW,v,1
32,19,19,RED,v,1
32,981,19,GREEN,v,1
32,19,981,BLUE,v,1
968,19,19,YELLOW,v,1
5,13,13,RED,v,1
5,987,13,GREEN,v,1
5,13,987,BLUE,v,1
995,13,13,YELLOW,v,1
37,41,8,RED,v,1
37,959,8,GREEN,v,1
37,41,992,BLUE,v,1
963,41,8,YELLOW,v,1
28,39,36,RED,v,1
28,961,36,GREEN,v,1
28,39,964,BLUE,v,1
972,39,36,YELLOW,v,1
4,32,38,RED,v,1
4,968,38,GREEN,v,1
4,32,962,BLUE,v,1
996,32,38,YELLOW,v,1
13,20,36,RED,v,1
13,980,36,GREEN,v,1
13,20,964,BLUE,v,1
987,20,36,YELLOW,v,1
10,28,22,RED,v,1
10,972,22,GREEN,v,1
10,28,978,BLUE,v,1
990,28,22,YELLOW,v,1
34,33,33,RED,v,1
34,967,33,GREEN,v,1
34,33,967,BLUE,v,1
966,33,33,YELLOW,v,1
20,19,48,RED,v,1
20,981,48,GREEN,v,1
20,19,952,BLUE,v,1
980,19,48,YELLOW,v,1
29,47,49,RED,v,1
29,953,49,GREEN,v,1
29,47,951,BLUE,v,1
971,47,49,YELLOW,v,1
44,32,19,RED,v,1
44,968,19,GREEN,v,1
44,32,981,BLUE,v,1
956,32,19,YELLOW,v,1
25,28,40,RED,v,0
25,972,40,RED,v,0
25,28,960,GREEN,v,0
975,28,40,YELLOW,v,0
36,20,14,RED,v,1
36,980,14,GREEN,v,1
36,20,986,BLUE,v,1
964,20,14,YELLOW,v,1
696,368,153,GREEN,o,0
696,632,153,BLUE,o,0
696,368,847,YELLOW,o,0
304,368,153,YELLOW,o,0
54,53,21,RED,v,1
54,947,21,GREEN,v,1
54,53,979,BLUE,v,1
946,53,21,YELLOW,v,1
26,30,19,RED,v,1
26,970,19,GREEN,v,1
26,30,981,BLUE,v,1
974,30,19,YELLOW,v,1
31,37,55,RED,v,1
31,963,55,GREEN,v,1
31,37,945,BLUE,v,1
969,37,55,YELLOW,v,1
49,20,20,RED,v,1
49,980,20,GREEN,v,1
49,20,980,BLUE,v,1
951,20,20,YELLOW,v,1
43,55,58,RED,v,1
43,945,58,GREEN,v,1
43,55,942,BLUE,v,1
957,55,58,YELLOW,v,1
54,47,44,RED,v,1
54,953,44,GREEN,v,1
54,47,956,BLUE,v,1
946,47,44,YELLOW,v,1
43,55,47,RED,v,1
43,945,47,GREEN,v,1
43,55,953,BLUE,v,1
957,55,47,YELLOW,v,1
28,43,55,RED,v,1
28,957,55,GREEN,v,1
28,43,945,BLUE,v,1
972,43,55,YELLOW,v,1
26,30,41,RED,v,1
26,970,41,GREEN,v,1
26,30,959,BLUE,v,1
974,30,41,YELLOW,v,1
981,884,583,BLUE,o,0
981,116,583,YELLOW,o,0
981,884,417,RED,o,0
19,884,583,RED,o,0
53,48,26,RED,v,1
53,952,26,GREEN,v,1
53,48,974,BLUE,v,1
947,48,26,YELLOW,v,1
35,44,40,RED,v,1
35,956,40,GREEN,v,1
35,44,960,BLUE,v,1
965,44,40,YELLOW,v,1
39,56,49,RED,v,1
39,944,49,GREEN,v,1
39,56,951,BLUE,v,1
961,56,49,YELLOW,v,1
28,64,57,RED,v,1
28,936,57,GREEN,v,1
28,64,943,BLUE,v,1
972,64,57,YELLOW,v,1
43,63,66,RED,v,1
43,937,66,GREEN,v,1
43,63,934,BLUE,v,1
957,63,66,YELLOW,v,1
30,52,31,RED,v,1
30,948,31,GREEN,v,1
30,52,969,BLUE,v,1
970,52,31,YELLOW,v,1
42,65,60,RED,v,1
42,935,60,GREEN,v,1
42,65,940,BLUE,v,1
958,65,60,YELLOW,v,1
50,70,31,RED,v,0
50,930,31,GREEN,v,0
50,70,969,BLUE,v,0
950,70,31,YELLOW,v,0
52,37,42,RED,v,1
52,963,42,GREEN,v,1
52,37,958,BLUE,v,1
948,37,42,YELLOW,v,1
37,54,45,RED,v,1
37,946,45,GREEN,v,1
37,54,955,BLUE,v,1
963,54,45,YELLOW,v,1
53,70,66,RED,v,1
53,930,66,GREEN,v,1
53,70,934,BLUE,v,1
947,70,66,YELLOW,v,1
38,63,45,RED,v,1
38,937,45,GREEN,v,1
38,63,955,BLUE,v,1
962,63,45,YELLOW,v,1
49,37,57,RED,v,1
49,963,57,GREEN,v,1
49,37,943,BLUE,v,1
951,37,57,YELLOW,v,1
44,53,49,RED,v,1
44,947,49,GREEN,v,1
44,53,951,BLUE,v,1
956,53,49,YELLOW,v,1
56,51,73,RED,v,1
56,949,73,GREEN,v,1
56,51,927,BLUE,v,1
944,51,73,YELLOW,v,1
51,76,71,YELLOW,v,0
51,924,71,GREEN,v,0
51,76,929,YELLOW,v,0
949,76,71,YELLOW,v,0
55,71,41,RED,v,1
55,929,41,GREEN,v,1
55,71,959,BLUE,v,1
945,71,41,YELLOW,v,1
71,47,51,RED,v,1
71,953,51,GREEN,v,1
71,47,949,BLUE,v,1
929,47,51,YELLOW,v,1
57,54,71,RED,v,1
57,946,71,GREEN,v,1
57,54,929,BLUE,v,1
943,54,71,YELLOW,v,1
59,54,62,BLUE,v,0
59,946,62,YELLOW,v,0
59,54,938,BLUE,v,0
941,54,62,BLUE,v,0
56,73,62,RED,v,1
56,927,62,GREEN,v,1
56,73,938,BLUE,v,1
944,73,62,YELLOW,v,1
59,60,81,RED,v,1
59,940,81,GREEN,v,1
59,60,919,BLUE,v,1
941,60,81,YELLOW,v,1
83,62,65,RED,v,1
83,938,65,GREEN,v,1
83,62,935,BLUE,v,1
917,62,65,YELLOW,v,1
50,74,71,RED,v,1
50,926,71,GREEN,v,1
50,74,929,BLUE,v,1
950,74,71,YELLOW,v,1
59,86,66,RED,v,1
59,914,66,GREEN,v,1
59,86,934,BLUE,v,1
941,86,66,YELLOW,v,1
80,71,74,RED,v,1
80,929,74,GREEN,v,1
80,71,926,BLUE,v,1
920,71,74,YELLOW,v,1
86,63,75,RED,v,1
86,937,75,GREEN,v,1
86,63,925,BLUE,v,1
914,63,75,YELLOW,v,1
72,71,55,RED,v,1
72,929,55,GREEN,v,1
72,71,945,BLUE,v,1
928,71,55,YELLOW,v,1
211,629,893,GREEN,v,0
211,371,893,BLUE,v,0
211,629,107,RED,v,0
789,629,893,BLUE,v,0
54,74,75,RED,v,1
54,926,75,GREEN,v,1
54,74,925,BLUE,v,1
946,74,75,YELLOW,v,1
67,82,57,RED,v,1
67,918,57,GREEN,v,1
67,82,943,BLUE,v,1
933,82,57,YELLOW,v,1
82,70,85,RED,v,1
82,930,85,GREEN,v,1
82,70,915,BLUE,v,1
918,70,85,YELLOW,v,1
95,76,96,RED,v,1
95,924,96,GREEN,v,1
95,76,904,BLUE,v,1
905,76,96,YELLOW,v,1
58,97,57,RED,v,1
58,903,57,GREEN,v,1
58,97,943,BLUE,v,1
942,97,57,YELLOW,v,1
79,72,92,RED,v,1
79,928,92,GREEN,v,1
79,72,908,BLUE,v,1
921,72,92,YELLOW,v,1
60,59,79,RED,v,1
60,941,79,GREEN,v,1
60,59,921,BLUE,v,1
940,59,79,YELLOW,v,1
64,82,99,RED,v,1
64,918,99,GREEN,v,1
64,82,901,BLUE,v,1
936,82,99,YELLOW,v,1
87,73,90,YELLOW,v,0
87,927,90,RED,v,0
87,73,910,RED,v,0
913,73,90,RED,v,0
95,102,78,RED,v,1
95,898,78,GREEN,v,1
95,102,922,BLUE,v,1
905,102,78,YELLOW,v,1
70,69,99,RED,v,1
70,931,99,GREEN,v,1
70,69,901,BLUE,v,1
930,69,99,YELLOW,v,1
101,69,101,RED,v,0
101,931,101,GREEN,v,0
101,69,899,BLUE,v,0
899,69,101,YELLOW,v,0
501,557,170,GREEN,o,0
501,443,170,GREEN,o,0
501,557,830,GREEN,o,0
499,557,170,GREEN,o,0
83,93,101,RED,v,1
83,907,101,GREEN,v,1
83,93,899,BLUE,v,1
917,93,101,YELLOW,v,1
85,92,86,RED,v,1
85,908,86,GREEN,v,1
85,92,914,BLUE,v,1
915,92,86,YELLOW,v,1
106,106,103,RED,v,1
106,894,103,GREEN,v,1
106,106,897,BLUE,v,1
894,106,103,YELLOW,v,1
73,89,83,RED,v,1
73,911,83,GREEN,v,1
73,89,917,BLUE,v,1
927,89,83,YELLOW,v,1
89,88,99,RED,v,1
89,912,99,GREEN,v,1
89,88,901,BLUE,v,1
911,88,99,YELLOW,v,1
